Id,Quality
222,5
1514,4
417,5
754,7
516,5
1120,7
180,5
82,5
632,5
592,5
501,7
1586,6
1096,5
1101,6
1488,7
700,5
631,6
1022,5
1420,5
882,7
1170,6
911,6
124,5
1417,7
681,5
63,4
1010,7
418,6
399,5
1265,5
999,6
452,5
347,7
778,5
607,5
32,5
511,5
1035,6
1270,7
723,6
838,7
485,6
142,7
1470,6
1238,4
158,4
426,6
344,7
637,5
1578,5
944,7
469,5
148,5
279,6
1144,5
509,6
1073,5
1423,5
280,7
848,4
650,6
1092,7
76,5
1302,7
1148,7
100,5
533,6
1328,5
253,5
1344,6
544,7
352,4
1367,6
1300,6
635,5
750,4
1479,6
476,6
1355,5
546,6
196,5
1210,5
43,4
1013,4
1378,5
471,7
1410,6
1004,5
740,5
697,4
127,5
1069,5
1319,5
741,5
626,5
621,5
1195,5
339,7
556,6
162,5
1555,7
695,6
457,5
1045,6
12,5
524,5
489,6
453,7
1282,5
423,7
290,6
744,5
435,6
955,6
1055,5
819,5
302,4
455,7
1274,6
710,5
1568,5
72,5
156,6
86,5
1252,5
1280,5
1130,5
1499,5
1434,5
564,6
1559,5
396,5
1081,6
293,5
652,8
1312,5
120,5
220,5
1391,5
1324,5
492,7
427,5
596,6
771,5
538,6
107,5
1436,5
193,5
1370,5
843,5
506,7
388,6
197,7
655,5
1508,6
799,5
194,5
1414,7
1059,6
1487,5
565,5
1333,5
1250,5
871,5
421,6
1336,5
1224,7
813,5
249,4
721,5
1026,7
781,5
808,7
809,5
111,5
766,5
1070,7
497,6
292,5
1529,5
1060,7
56,5
42,7
1535,5
190,5
79,5
1219,7
1384,5
269,6
833,5
1379,5
551,6
947,6
3,5
934,5
749,7
1553,4
1036,6
1107,7
1168,6
1577,5
1291,5
578,5
85,5
1089,6
366,5
90,5
752,5
1590,7
617,7
146,5
241,6
790,5
1116,5
392,6
770,5
395,6
306,5
416,6
512,6
729,7
1415,5
677,4
793,5
94,5
466,7
96,5
325,5
1359,6
16,5
1076,7
900,7
1556,4
1057,5
877,6
953,7
1400,5
1127,7
260,5
608,5
1549,7
376,7
1048,7
1485,5
1471,5
1110,5
1493,5
1019,5
1078,6
1152,5
1395,5
1277,5
1321,6
1234,5
412,5
1111,6
335,5
1526,5
2,5
6,5
1281,5
745,7
1008,7
298,4
415,5
736,5
679,5
1220,7
439,5
989,6
500,5
1053,7
611,6
1335,6
595,5
361,6
35,5
1237,5
67,4
155,6
80,5
1147,7
296,5
170,5
1439,6
946,7
